link_id,Node1           ,Node2           
 PIPE_19963      ,A700            ,A702            
 PIPE_27423      ,A703            ,A3275           
 PIPE_18190      ,A704            ,A705            
 PIPE_23816      ,A2016           ,AD10024-02-01   
 PIPE_19601      ,A707            ,A708            
 PIPE_25721      ,AD11270         ,A713            
 PIPE_18037      ,A714            ,A2540           
 PIPE_30851      ,A209            ,A2028           
 PIPE_25717      ,A2026           ,AD11282-01-01   
 PIPE_30195      ,A2541           ,A717            
 PIPE_30196      ,A718            ,A717            
 PIPE_17983      ,A1079           ,AD10193-01-01   
 PIPE_20587      ,A720            ,A721            
 PIPE_25264      ,A722            ,AD11135-01-01   
 PIPE_20870      ,A1757           ,AD10879-01-01   
 PIPE_26286      ,A724            ,A1904           
 PIPE_17618      ,A726            ,A727            
 PIPE_30972      ,A728            ,A729            
 PIPE_19374      ,A730            ,AD11096-03-01   
 PIPE_21640      ,A628            ,A3359           
 PIPE_23567      ,A731            ,A1965           
 PIPE_30123      ,A2044           ,A732            
 PIPE_28336      ,A2047           ,AD11450-01-01   
 PIPE_31498      ,A1434           ,A736            
 PIPE_28340      ,A115            ,A737            
 PIPE_28585      ,A738            ,A739            
 PIPE_31544      ,A740            ,AD11737-01-01   
 PIPE_31552      ,A741            ,AD11749-01-01   
 PIPE_30125      ,A2972           ,A742            
 PIPE_31649      ,A747            ,A748            
 PIPE_26487      ,A749            ,AD11272-02-01   
 PIPE_28350      ,A2054           ,AD11537         
 PIPE_28344      ,AD11563         ,A751            
 PIPE_31677      ,A753            ,A752            
 PIPE_28601      ,A754            ,A755            
 PIPE_31665      ,A1432           ,AD11554         
 PIPE_30015      ,A757            ,A758            
 PIPE_31746      ,A1457           ,A759            
 PIPE_30804      ,A2575           ,A760            
 PIPE_31308      ,A1775           ,AD11727-02-01   
 PIPE_20384      ,A3314           ,A762            
 PIPE_31306      ,A763            ,AD11727-01-01   
 PIPE_24241      ,A2008           ,A765            
 PIPE_29478      ,A766            ,A767            
 PIPE_20350      ,A1770           ,A768            
 PIPE_23001      ,A769            ,AD10129-02-01   
 PIPE_31750      ,A1440           ,A770            
 PIPE_24438      ,A771            ,A772            
 PIPE_25148      ,A347            ,A773            
 PIPE_18194      ,A1455           ,A774            
 PIPE_21137      ,A775            ,A774            
 PIPE_19289      ,A775            ,AD11154-01-01   
 PIPE_29507      ,A777            ,A1439           
 PIPE_29509      ,A778            ,A779            
 PIPE_31962      ,A780            ,A3555           
 PIPE_28675      ,A781            ,A782            
 PIPE_28634      ,A781            ,A1458           
 PIPE_28659      ,A783            ,A784            
 PIPE_28636      ,A785            ,AD11611-01-01   
 PIPE_28622      ,A3327           ,AD11641-01-01   
 PIPE_28621      ,A788            ,A1466           
 PIPE_30016      ,A789            ,A757            
 PIPE_31679      ,A2031           ,A791            
 PIPE_31818      ,A1824           ,AD11716-01-01   
 PIPE_31839      ,A793            ,A2594           
 PIPE_21013      ,A794            ,A795            
 PIPE_31602      ,A796            ,A795            
 PIPE_20714      ,A798            ,A1475           
 PIPE_26382      ,A799            ,A2596           
 PIPE_22730      ,A801            ,A802            
 PIPE_23522      ,A803            ,A804            
 PIPE_28933      ,A805            ,A806            
 PIPE_18322      ,A3207           ,A807            
 PIPE_19597      ,A102            ,AD10198-01-01   
 PIPE_28452      ,A3334           ,A809            
 PIPE_28275      ,A810            ,A811            
 PIPE_28274      ,A811            ,A812            
 PIPE_28265      ,A812            ,A813            
 PIPE_28264      ,A814            ,A815            
 PIPE_28327      ,A816            ,A817            
 PIPE_28611      ,A818            ,A819            
 PIPE_28515      ,A820            ,A821            
 PIPE_29716      ,A824            ,A825            
 PIPE_28430      ,A826            ,AD11482-02-01   
 PIPE_28538      ,A827            ,A828            
 PIPE_26421      ,A829            ,A354            
 PIPE_18448      ,A380            ,A830            
 PIPE_21416      ,A831            ,AD10251-01-01   
 PIPE_26027      ,A198            ,A830            
 PIPE_30027      ,A832            ,A833            
 PIPE_30786      ,A8              ,A3343           
 PIPE_30097      ,A837            ,A838            
 PIPE_31205      ,A10             ,A842            
 PIPE_31147      ,A10             ,AD11738-01-01   
 PIPE_23233      ,A844            ,A845            
 PIPE_24516      ,A846            ,A847            
 PIPE_17964      ,A848            ,A2619           
 PIPE_25093      ,A849            ,A1550           
 PIPE_21863      ,A850            ,A1516           
 PIPE_23361      ,A851            ,A852            
 PIPE_22308      ,A2213           ,AD10328-01-01   
 PIPE_25119      ,A1524           ,AD10063-02-01   
 PIPE_19338      ,A855            ,A108            
 PIPE_25582      ,A1601           ,AD10258-01-01   
 PIPE_25503      ,A857            ,AD11328-01-01   
 PIPE_23578      ,A2125           ,AD10065-04-01   
 PIPE_25547      ,A857            ,A3224           
 PIPE_19030      ,A859            ,A21             
 PIPE_26638      ,A1527           ,AD10866         
 PIPE_22335      ,A861            ,AD10034-01-01   
 PIPE_20543      ,A30             ,AD10032-01-01   
 PIPE_19217      ,A863            ,A864            
